lookup,Method,Distribution,Risk
mpt_normal_hmm,mpt,normal,hmm
proposed_t_hmm,proposed,t,hmm
mpt_normal_risk_averse,mpt,normal,risk_averse
mpt_skew_normal_mrp,mpt,skew_normal,mrp
mpt_t_risk_averse,mpt,t,risk_averse
proposed_normal_risk_seeking,proposed,normal,risk_seeking
proposed_t_risk_averse,proposed,t,risk_averse
mpt_skew_normal_risk_averse,mpt,skew_normal,risk_averse
mpt_t_risk_seeking,mpt,t,risk_seeking
proposed_normal_hmm,proposed,normal,hmm
mpt_t_hmm,mpt,t,hmm
proposed_skew_normal_hmm,proposed,skew_normal,hmm
mpt_skew_normal_risk_seeking,mpt,skew_normal,risk_seeking
proposed_skew_normal_risk_averse,proposed,skew_normal,risk_averse
proposed_skew_normal_mrp,proposed,skew_normal,mrp
mpt_t_mrp,mpt,t,mrp
proposed_normal_risk_averse,proposed,normal,risk_averse
mpt_normal_risk_seeking,mpt,normal,risk_seeking
proposed_normal_mrp,proposed,normal,mrp
proposed_t_risk_seeking,proposed,t,risk_seeking
proposed_skew_normal_risk_seeking,proposed,skew_normal,risk_seeking
mpt_skew_normal_hmm,mpt,skew_normal,hmm
proposed_t_mrp,proposed,t,mrp
mpt_normal_mrp,mpt,normal,mrp
