DATE,NA000334Q
1947-01-01,58497.0
1947-04-01,60672.0
1947-07-01,62196.0
1947-10-01,68250.0
1948-01-01,64258.0
1948-04-01,66539.0
1948-07-01,69378.0
1948-10-01,74295.0
1949-01-01,66185.0
1949-04-01,66340.0
1949-07-01,68625.0
1949-10-01,71322.0
1950-01-01,68032.0
1950-04-01,70872.0
1950-07-01,77178.0
1950-10-01,83746.0
1951-01-01,81603.0
1951-04-01,84645.0
1951-07-01,87586.0
1951-10-01,93076.0
1952-01-01,87610.0
1952-04-01,88913.0
1952-07-01,91270.0
1952-10-01,99548.0
1953-01-01,94008.0
1953-04-01,97392.0
1953-07-01,96695.0
1953-10-01,101121.0
1954-01-01,93581.0
1954-04-01,96090.0
1954-07-01,96905.0
1954-10-01,103980.0
1955-01-01,99833.0
1955-04-01,104406.0
1955-07-01,107058.0
1955-10-01,114181.0
1956-01-01,106892.0
1956-04-01,110356.0
1956-07-01,111816.0
1956-10-01,120287.0
1957-01-01,113459.0
1957-04-01,117125.0
1957-07-01,119108.0
1957-10-01,124349.0
1958-01-01,113202.0
1958-04-01,117802.0
1958-07-01,120079.0
1958-10-01,130149.0
1959-01-01,123707.0
1959-04-01,131641.0
1959-07-01,130194.0
1959-10-01,136112.0
1960-01-01,131022.0
1960-04-01,136488.0
1960-07-01,135021.0
1960-10-01,139850.0
1961-01-01,132138.0
1961-04-01,140168.0
1961-07-01,140509.0
1961-10-01,149394.0
1962-01-01,144274.0
1962-04-01,150952.0
1962-07-01,150614.0
1962-10-01,158078.0
1963-01-01,150949.0
1963-04-01,158886.0
1963-07-01,159597.0
1963-10-01,168017.0
1964-01-01,162413.0
1964-04-01,170097.0
1964-07-01,171593.0
1964-10-01,180356.0
1965-01-01,173462.0
1965-04-01,183818.0
1965-07-01,185525.0
1965-10-01,199483.0
1966-01-01,191022.0
1966-04-01,201635.0
1966-07-01,203439.0
1966-10-01,217316.0
1967-01-01,204098.0
1967-04-01,213246.0
1967-07-01,214456.0
1967-10-01,228140.0
1968-01-01,218405.0
1968-04-01,234781.0
1968-07-01,235737.0
1968-10-01,251704.0
